name,success,type,from,to,object,launch,finish,cospar,agency,country
Mars 1M,False,flyby,earth,mars,planet,1960-10-10,1960-10-10,MARSNK1,soviet,Soviet Union
Mars 2M,False,towards,earth,mars,planet,1960-10-14,1960-10-14,MARSNK2,soviet,Soviet Union
Sputnik 22,False,towards,earth,mars,planet,1962-10-24,1962-10-29,,soviet,Soviet Union
Mars 1,False,towards,earth,mars,planet,1962-11-01,1963-03-21,,soviet,Soviet Union
Sputnik 24,False,towards,earth,mars,planet,1962-11-04,1962-11-25,,soviet,Soviet Union
Mariner 3,False,towards,earth,mars,planet,1964-11-05,1964-11-05,,nasa,USA
Mariner 4,True,flyby,earth,mars,planet,1964-11-28,1967-12-21,,nasa,USA
Zond 2,False,towards,earth,mars,planet,1964-11-30,1965-08-06,,soviet,Soviet Union
Unnamed,False,towards,earth,mars,planet,1967-03-27,1967-03-27,,soviet,Soviet Union
Mariner 6,True,flyby,earth,mars,planet,1969-02-25,,,nasa,USA
Mars 1969A,False,towards,earth,mars,planet,1969-03-27,1969-03-27,,soviet,Soviet Union
Mariner 7,True,flyby,earth,mars,planet,1969-03-27,,,nasa,USA
Mars 1969B,False,towards,earth,mars,planet,1969-04-02,1969-04-02,,soviet,Soviet Union
Mariner 8,False,towards,earth,mars,planet,1971-05-08,1971-05-08,,nasa,USA
Cosmos 419,False,towards,earth,mars,planet,1971-05-10,1971-05-12,,soviet,Soviet Union
Mars 2,True,orbit,earth,mars,planet,1971-05-19,1971-11-27,,soviet,Soviet Union
Mars 2,False,lander,mars,mars,planet,1971-11-27,1971-11-27,,soviet,Soviet Union
Mars 3,True,orbit,earth,mars,planet,1971-05-28,1971-12-02,1971-049A,soviet,Soviet Union
Mars 3,True,lander,mars,mars,planet,1971-12-02,1971-12-02,1971-049A,soviet,Soviet Union
Mariner 9,True,orbit,earth,mars,planet,1971-05-30,1972-10-27,,nasa,USA
Mars 4,True,flyby,earth,mars,planet,1973-07-21,,,soviet,Soviet Union
Mars 5,True,orbit,earth,mars,planet,1973-07-25,,,soviet,Soviet Union
Mars 6,False,lander,earth,mars,planet,1973-08-05,,,soviet,Soviet Union
Mars 7,False,lander,earth,mars,planet,1973-08-09,,1973-053A,soviet,Soviet Union
Viking 1,True,lander,earth,mars,planet,1975-08-20,1980-08-17,,nasa,USA
Viking 2,True,lander,earth,mars,planet,1975-09-09,1980-04-11,,nasa,USA
Phobos 1,False,orbit,earth,mars,planet,1988-07-07,1988-09-02,,soviet,Soviet Union
Phobos 2,True,orbit,earth,mars,planet,1988-07-12,1989-03-27,1988-059A,soviet,Soviet Union
Mars Observer,False,flyby,earth,mars,planet,1992-09-25,1993-08-21,1992-063A,nasa,USA
Mars Global Surveyor,True,orbit,earth,mars,planet,1996-11-07,2006-11-02,1996-062A,nasa,USA
Mars 96,False,towards,earth,mars,planet,1996-11-16,1996-11-17,,roscosmos,Russia
Mars Pathfinder,True,lander,earth,mars,planet,1996-12-04,1997-09-27,1996-068A,nasa,USA
Nozomi (Planet-B),False,towards,earth,mars,planet,1998-07-03,2003-12-14,,jaxa,Japan
Mars Climate Orbiter,False,orbit,earth,mars,planet,1998-12-10,1999-09-23,1998-073A,nasa,USA
Mars Polar Lander,False,lander,earth,mars,planet,1999-01-03,,1999-001A,nasa,USA
Mars Odyssey,True,orbit,earth,mars,planet,2001-04-07,,2001-014A,nasa,USA
Mars Express,True,orbit,earth,mars,planet,2003-06-02,2003-12-25,,esa,EU
Mars Express,False,lander,mars,mars,planet,2003-12-25,2003-12-25,,esa,EU
Spirit (MER-A),True,rover,earth,mars,planet,2003-06-10,2010-03-22,,nasa,USA
Opportunity (MER-B),True,rover,earth,mars,planet,2003-07-08,,,nasa,USA
Rosetta,True,flyby,earth,mars,planet,2004-03-02,2007-02-25,,esa,EU
Mars Reconnaissance Orbiter,True,orbit,earth,mars,planet,2005-08-12,,2005-029A,nasa,USA
Phoenix,True,lander,earth,mars,planet,2007-08-04,2008-11-10,,nasa,USA
Dawn,True,flyby,earth,mars,planet,2007-09-27,2009-02-17,,nasa,USA
Phobos-Grunt,False,towards,earth,mars,planet,2011-11-08,2012-01-15,,roscosmos,Russia
Yinghuo-1,False,towards,earth,mars,planet,2011-11-08,2012-01-15,,cnsa,China
Curiosity (Mars Science Laboratory),True,rover,earth,mars,planet,2011-11-26,,,nasa,USA
Mars Orbiter Mission,True,orbit,earth,mars,planet,2013-11-05,,,isro,India
MAVEN,True,orbit,earth,mars,planet,2013-11-18,,,nasa,USA
ExoMars Trace Gas Orbiter,True,ongoing,earth,mars,planet,2016-03-14,,2016-017A,esa,EU
