,name,success,type,from,to,object,launch,finish,cospar,agency,country
0,OSIRIS-REx,True,ongoing,earth,(101955) Bennu,asteroid,9/8/16,,,nasa,USA
1,New Horizons,True,flyby,earth,(132524) APL,asteroid,1/17/06,6/13/06,,nasa,USA
2,Hayabusa 2,True,ongoing,earth,(162173) 1999 JU3,asteroid,12/3/15,2018-06,2014-076A,jaxa,USA
3,Rosetta,True,flyby,(2867) Steins,(21) Lutetia,asteroid,9/5/08,7/10/10,,esa,USA
4,Galileo,True,flyby,(951) Gaspra,(243) Ida,asteroid,10/29/91,8/28/93,1989-084B,nasa,USA
5,Hayabusa,False,lander,(25143) Itokawa,(25143) Itokawa,asteroid,10/4/05,11/19/05,,jaxa,USA
6,Hayabusa,True,orbit,earth,(25143) Itokawa,asteroid,5/9/03,10/4/05,,jaxa,USA
7,Rosetta,True,flyby,mars,(2867) Steins,asteroid,2/25/07,9/5/08,,esa,USA
8,Chang'e 2,True,flyby,earth,(4179) Toutatis,asteroid,10/1/10,,,cnsa,USA
9,NEAR,True,orbit,earth,(433) Eros,asteroid,2/17/96,,,nasa,USA
10,Stardust,True,flyby,earth,(5535) Annefrank,asteroid,2/7/99,11/2/02,,nasa,USA
11,Galileo,True,flyby,venus,(951) Gaspra,asteroid,2/10/90,10/29/91,1989-084B,nasa,USA
12,Deep Space 1,True,flyby,earth,(9969) Braille,asteroid,10/24/98,9/22/01,,nasa,USA
13,Deep Impact,True,flyby,9P/Tempel,103P/Hartley,asteroid,7/4/05,11/4/10,2005-001A,nasa,USA
14,Deep Space 1,True,orbit,(9969) Braille,19P/Borrelly,asteroid,9/2201,9/22/01,,nasa,USA
15,ICE,True,flyby,21P/Giacobini-Zinner,1P/Halley,asteroid,9/11/85,5/1/86,,nasa,USA
16,Giotto,True,flyby,earth,1P/Halley,asteroid,7/2/84,3/14/86,,esa,USA
17,Suisei,True,flyby,earth,1P/Halley,asteroid,8/19/85,8/19/85,,jaxa,USA
18,Vega 1,True,flyby,venus,1P/Halley,asteroid,6/11/85,3/6/86,1984-125A,soviet,USA
19,Vega 2,True,flyby,venus,1P/Halley,asteroid,6/15/85,3/7/86,,soviet,USA
20,New Horizons,True,ongoing,pluto,2014 MU69,asteroid,6/14/15,1/1/19,,nasa,USA
21,Suisei,False,flyby,1P/Halley,21P/Giacobini-Zinner,asteroid,8/19/85,11/24/98,,jaxa,USA
22,ICE,True,flyby,earth,21P/Giacobini-Zinner,asteroid,8/12/84,9/11/85,,nasa,USA
23,Giotto,True,flyby,1P/Halley,26P/Grigg-Skjellerup,asteroid,3/14/86,7/10/92,,esa,USA
24,CONTOUR,False,flyby,earth,2P/Encke,asteroid,7/2/02,11/3/03,,nasa,USA
25,Rosetta,True,orbit,(21) Lutetia,67P/Churyumov-Gerasimenko,asteroid,7/10/10,8/6/14,,esa,USA
26,CONTOUR,False,flyby,2P/Encke,73P/Schwassmann-Wachmann,asteroid,11/3/03,6/18/06,,nasa,USA
27,Stardust,True,flyby,(5535) Annefrank,81P/Wild,asteroid,11/2/02,1/2/04,,nasa,USA
28,Deep Impact,True,flyby,earth,9P/Tempel,asteroid,1/12/05,7/4/05,2005-001A,nasa,USA
29,Stardust,True,flyby,earth,9P/Tempel,asteroid,1/15/06,2/14/11,,nasa,USA
30,Dawn,True,orbit,vesta,ceres,asteroid,7/16/11,3/6/15,,nasa,USA
31,Hayabusa 2,True,flyby,earth,earth,planet,12/3/14,12/3/15,2014-076A,jaxa,USA
32,Hayabusa,True,lander,(25143) Itokawa,earth,planet,11/19/05,6/13/10,,jaxa,USA
33,Stardust,True,lander,81P/Wild,earth,planet,1/2/04,1/15/06,,nasa,USA
34,Pioneer 10,True,ongoing,jupiter,heliopause,asteroid,12/4/73,,,nasa,USA
35,Voyager 1,True,ongoing,saturn,heliopause1,asteroid,11/12/80,,,nasa,USA
36,Voyager 2,True,ongoing,neptune,heliopause2,asteroid,8/25/89,,,nasa,USA
37,New Horizons,True,ongoing,2014 MU69,heliopause3,asteroid,1/1/19,,,nasa,USA
38,Pioneer 11,True,ongoing,saturn,heliopauseb,asteroid,9/1/79,,,nasa,USA
39,New Horizons,True,flyby,(132524) APL,jupiter,planet,6/13/06,2/28/07,,nasa,USA
40,Pioneer 10,True,flyby,earth,jupiter,planet,3/3/72,12/4/73,,nasa,USA
41,Pioneer 11,True,flyby,earth,jupiter,planet,4/6/73,12/3/74,,nasa,USA
42,Voyager 2,True,flyby,earth,jupiter,planet,8/20/77,7/9/79,,nasa,USA
43,Voyager 1,True,flyby,earth,jupiter,planet,9/5/77,3/5/79,,nasa,USA
44,Ulysses,True,flyby,earth,jupiter,planet,10/6/90,6/30/09,,esa,USA
45,Cassini-Huygens,True,flyby,venus,jupiter,planet,6/24/99,12/30/00,1997-061A,nasa,USA
46,Galileo,True,orbit,(243) Ida,jupiter,planet,8/28/93,12/8/95,1989-084B,nasa,USA
47,Juno,True,orbit,earth,jupiter,planet,8/5/11,,,nasa,USA
48,Mars 1M,False,flyby,earth,mars,planet,10/10/60,10/10/60,MARSNK1,soviet,USA
49,Mariner 4,True,flyby,earth,mars,planet,11/28/64,12/21/67,,nasa,USA
50,Mariner 6,True,flyby,earth,mars,planet,2/25/69,,,nasa,USA
51,Mariner 7,True,flyby,earth,mars,planet,3/27/69,,,nasa,USA
52,Mars 4,True,flyby,earth,mars,planet,7/21/73,,,soviet,USA
53,Mars Observer,False,flyby,earth,mars,planet,9/25/92,8/21/93,1992-063A,nasa,USA
54,Rosetta,True,flyby,earth,mars,planet,3/2/04,2/25/07,,esa,USA
55,Dawn,True,flyby,earth,mars,planet,9/27/07,2/17/09,,nasa,USA
56,Mars 6,False,lander,earth,mars,planet,8/5/73,,,soviet,USA
57,Mars 7,False,lander,earth,mars,planet,8/9/73,,1973-053A,soviet,USA
58,Viking 1,True,lander,earth,mars,planet,8/20/75,8/17/80,,nasa,USA
59,Viking 2,True,lander,earth,mars,planet,9/9/75,4/11/80,,nasa,USA
60,Mars Pathfinder,True,lander,earth,mars,planet,12/4/96,9/27/97,1996-068A,nasa,USA
61,Mars Polar Lander,False,lander,earth,mars,planet,1/3/99,,1999-001A,nasa,USA
62,Phoenix,True,lander,earth,mars,planet,8/4/07,11/10/08,,nasa,USA
63,Mars 2,False,lander,mars,mars,planet,11/27/71,11/27/71,,soviet,USA
64,Mars 3,True,lander,mars,mars,planet,12/2/71,12/2/71,1971-049A,soviet,USA
65,Mars Express,False,lander,mars,mars,planet,12/25/03,12/25/03,,esa,USA
66,ExoMars Trace Gas Orbiter,True,ongoing,earth,mars,planet,3/14/16,,2016-017A,esa,USA
67,Mars 2,True,orbit,earth,mars,planet,5/19/71,11/27/71,,soviet,USA
68,Mars 3,True,orbit,earth,mars,planet,5/28/71,12/2/71,1971-049A,soviet,USA
69,Mariner 9,True,orbit,earth,mars,planet,5/30/71,10/27/72,,nasa,USA
70,Mars 5,True,orbit,earth,mars,planet,7/25/73,,,soviet,USA
71,Phobos 1,False,orbit,earth,mars,planet,7/7/88,9/2/88,,soviet,USA
72,Phobos 2,True,orbit,earth,mars,planet,7/12/88,3/27/89,1988-059A,soviet,USA
73,Mars Global Surveyor,True,orbit,earth,mars,planet,11/7/96,11/2/06,1996-062A,nasa,USA
74,Mars Climate Orbiter,False,orbit,earth,mars,planet,12/10/98,9/23/99,1998-073A,nasa,USA
75,Mars Odyssey,True,orbit,earth,mars,planet,4/7/01,,2001-014A,nasa,USA
76,Mars Express,True,orbit,earth,mars,planet,6/2/03,12/25/03,,esa,USA
77,Mars Reconnaissance Orbiter,True,orbit,earth,mars,planet,8/12/05,,2005-029A,nasa,USA
78,Mars Orbiter Mission,True,orbit,earth,mars,planet,11/5/13,,,isro,USA
79,MAVEN,True,orbit,earth,mars,planet,11/18/13,,,nasa,USA
80,Spirit (MER-A),True,rover,earth,mars,planet,6/10/03,3/22/10,,nasa,USA
81,Opportunity (MER-B),True,rover,earth,mars,planet,7/8/03,,,nasa,USA
82,Curiosity (Mars Science Laboratory),True,rover,earth,mars,planet,11/26/11,,,nasa,USA
83,Mars 2M,False,orbit,earth,mars,planet,10/14/60,10/14/60,MARSNK2,soviet,USA
84,Sputnik 22,False,flyby,earth,mars,planet,10/24/62,10/29/62,,soviet,USA
85,Mars 1,False,flyby,earth,mars,planet,11/1/62,3/21/63,,soviet,USA
86,Sputnik 24,False,lander,earth,mars,planet,11/4/62,11/25/62,,soviet,USA
87,Mariner 3,False,flyby,earth,mars,planet,11/5/64,11/5/64,,nasa,USA
88,Zond 2,False,flyby,earth,mars,planet,11/30/64,8/6/65,,soviet,USA
89,Mars 1969A,False,orbit,earth,mars,planet,3/27/69,3/27/69,,soviet,USA
90,Mars 1969B,False,orbit,earth,mars,planet,4/2/69,4/2/69,,soviet,USA
91,Mariner 8,False,orbit,earth,mars,planet,5/8/71,5/8/71,,nasa,USA
92,Cosmos 419,False,orbit,earth,mars,planet,5/10/71,5/12/71,,soviet,USA
93,Mars 96,False,orbit,earth,mars,planet,11/16/96,11/17/96,,roscosmos,USA
94,Nozomi (Planet-B),False,orbit,earth,mars,planet,7/3/98,12/14/03,,jaxa,USA
95,Phobos-Grunt,False,lander,earth,mars,planet,11/8/11,1/15/12,,roscosmos,USA
96,Yinghuo-1,False,orbit,earth,mars,planet,11/8/11,1/15/12,,cnsa,USA
97,Mariner 10,True,flyby,mercury,mercury,planet,3/29/74,9/21/74,,nasa,USA
98,Mariner 10,True,flyby,mercury,mercury,planet,9/21/74,3/16/75,,nasa,USA
99,Mariner 10,True,flyby,venus,mercury,planet,2/5/74,3/29/74,,nasa,USA
100,MESSENGER,True,orbit,venus,mercury,planet,10/24/06,3/18/11,,nasa,USA
101,Voyager 2,True,flyby,uranus,neptune,planet,1/24/86,8/25/89,,nasa,USA
102,New Horizons,True,flyby,jupiter,pluto,asteroid,2/28/07,6/14/15,,nasa,USA
103,Pioneer 11,True,flyby,jupiter,saturn,planet,12/3/74,9/1/79,,nasa,USA
104,Voyager 2,True,flyby,jupiter,saturn,planet,7/9/79,8/26/81,,nasa,USA
105,Voyager 1,True,flyby,jupiter,saturn,planet,3/5/79,11/12/80,,nasa,USA
106,Cassini-Huygens,True,orbit,jupiter,saturn,planet,12/30/00,7/1/04,1997-061A,nasa,USA
107,Cassini-Huygens,True,lander,saturn,titan,asteroid,7/1/04,1/14/05,1997-061A,nasa,USA
108,Voyager 2,True,flyby,saturn,uranus,planet,8/26/81,1/24/86,,nasa,USA
109,Mariner 2,True,flyby,earth,venus,planet,8/27/62,1/3/63,,nasa,USA
110,Mariner 5,True,flyby,earth,venus,planet,6/14/67,11/1/67,,nasa,USA
111,Mariner 10,True,flyby,earth,venus,planet,11/3/73,2/5/74,,nasa,USA
112,Venera 12,True,flyby,earth,venus,planet,9/14/78,12/21/78,,soviet,USA
113,Venera 13,True,flyby,earth,venus,planet,10/30/81,3/1/82,,soviet,USA
114,Venera 14,True,flyby,earth,venus,planet,11/4/81,3/5/82,,soviet,USA
