name,success,type,from,to,object,launch,finish,cospar,agency
OSIRIS-REx,TRUE,ongoing,earth,(101955) Bennu,asteroid,9/8/16,,,nasa
New Horizons,TRUE,flyby,earth,(132524) APL,asteroid,1/17/06,6/13/06,,nasa
Hayabusa 2,TRUE,ongoing,earth,(162173) 1999 JU3,asteroid,12/3/15,2018-06,2014-076A,jaxa
Rosetta,TRUE,flyby,(2867) Steins,(21) Lutetia,asteroid,9/5/08,7/10/10,,esa
Galileo,TRUE,flyby,(951) Gaspra,(243) Ida,asteroid,10/29/91,8/28/93,1989-084B,nasa
Hayabusa,FALSE,lander,(25143) Itokawa,(25143) Itokawa,asteroid,10/4/05,11/19/05,,jaxa
Hayabusa,TRUE,orbit,earth,(25143) Itokawa,asteroid,5/9/03,10/4/05,,jaxa
Rosetta,TRUE,flyby,mars,(2867) Steins,asteroid,2/25/07,9/5/08,,esa
Chang'e 2,TRUE,flyby,earth,(4179) Toutatis,asteroid,10/1/10,,,cnsa
NEAR,TRUE,orbit,earth,(433) Eros,asteroid,2/17/96,,,nasa
Stardust,TRUE,flyby,earth,(5535) Annefrank,asteroid,2/7/99,11/2/02,,nasa
Galileo,TRUE,flyby,venus,(951) Gaspra,asteroid,2/10/90,10/29/91,1989-084B,nasa
Deep Space 1,TRUE,flyby,earth,(9969) Braille,asteroid,10/24/98,9/22/01,,nasa
Deep Impact,TRUE,flyby,9P/Tempel,103P/Hartley,asteroid,7/4/05,11/4/10,2005-001A,nasa
Deep Space 1,TRUE,orbit,(9969) Braille,19P/Borrelly,asteroid,9/2201,9/22/01,,nasa
ICE,TRUE,flyby,21P/Giacobini-Zinner,1P/Halley,asteroid,9/11/85,5/1/86,,nasa
Giotto,TRUE,flyby,earth,1P/Halley,asteroid,7/2/84,3/14/86,,esa
Suisei,TRUE,flyby,earth,1P/Halley,asteroid,8/19/85,8/19/85,,jaxa
Vega 1,TRUE,flyby,venus,1P/Halley,asteroid,6/11/85,3/6/86,1984-125A,soviet
Vega 2,TRUE,flyby,venus,1P/Halley,asteroid,6/15/85,3/7/86,,soviet
New Horizons,TRUE,ongoing,pluto,2014 MU69,asteroid,6/14/15,1/1/19,,nasa
Suisei,FALSE,flyby,1P/Halley,21P/Giacobini-Zinner,asteroid,8/19/85,11/24/98,,jaxa
ICE,TRUE,flyby,earth,21P/Giacobini-Zinner,asteroid,8/12/84,9/11/85,,nasa
Giotto,TRUE,flyby,1P/Halley,26P/Grigg-Skjellerup,asteroid,3/14/86,7/10/92,,esa
CONTOUR,FALSE,flyby,earth,2P/Encke,asteroid,7/2/02,11/3/03,,nasa
Rosetta,TRUE,orbit,(21) Lutetia,67P/Churyumov-Gerasimenko,asteroid,7/10/10,8/6/14,,esa
CONTOUR,FALSE,flyby,2P/Encke,73P/Schwassmann-Wachmann,asteroid,11/3/03,6/18/06,,nasa
Stardust,TRUE,flyby,(5535) Annefrank,81P/Wild,asteroid,11/2/02,1/2/04,,nasa
Deep Impact,TRUE,flyby,earth,9P/Tempel,asteroid,1/12/05,7/4/05,2005-001A,nasa
Stardust,TRUE,flyby,earth,9P/Tempel,asteroid,1/15/06,2/14/11,,nasa
Dawn,TRUE,orbit,vesta,ceres,asteroid,7/16/11,3/6/15,,nasa
Hayabusa 2,TRUE,flyby,earth,earth,planet,12/3/14,12/3/15,2014-076A,jaxa
Hayabusa,TRUE,lander,(25143) Itokawa,earth,planet,11/19/05,6/13/10,,jaxa
Stardust,TRUE,lander,81P/Wild,earth,planet,1/2/04,1/15/06,,nasa
Pioneer 10,TRUE,ongoing,jupiter,heliopause,asteroid,12/4/73,,,nasa
Voyager 1,TRUE,ongoing,saturn,heliopause1,asteroid,11/12/80,,,nasa
Voyager 2,TRUE,ongoing,neptune,heliopause2,asteroid,8/25/89,,,nasa
New Horizons,TRUE,ongoing,2014 MU69,heliopause3,asteroid,1/1/19,,,nasa
Pioneer 11,TRUE,ongoing,saturn,heliopauseb,asteroid,9/1/79,,,nasa
New Horizons,TRUE,flyby,(132524) APL,jupiter,planet,6/13/06,2/28/07,,nasa
Pioneer 10,TRUE,flyby,earth,jupiter,planet,3/3/72,12/4/73,,nasa
Pioneer 11,TRUE,flyby,earth,jupiter,planet,4/6/73,12/3/74,,nasa
Voyager 2,TRUE,flyby,earth,jupiter,planet,8/20/77,7/9/79,,nasa
Voyager 1,TRUE,flyby,earth,jupiter,planet,9/5/77,3/5/79,,nasa
Ulysses,TRUE,flyby,earth,jupiter,planet,10/6/90,6/30/09,,esa
