name,success,type,from,to,object,launch,finish,cospar,agency,country
Sputnik 7,False,towards,earth,venus,planet,1961-02-04,1961-02-26,,soviet,Soviet Union
Venera 1,False,towards,earth,venus,planet,1961-02-12,1961-02-19,,soviet,Soviet Union
Mariner 1,False,towards,earth,venus,planet,1962-07-22,1962-07-22,,nasa,USA
Mariner 2,True,flyby,earth,venus,planet,1962-08-27,1963-01-03,,nasa,USA
Sputnik 20,False,towards,earth,venus,planet,1962-09-01,1962-09-06,,soviet,Soviet Union
Sputnik 21,False,towards,earth,venus,planet,1962-09-12,1962-09-14,,soviet,Soviet Union
Cosmos 21,False,towards,earth,venus,planet,1963-11-11,1963-11-14,,soviet,Soviet Union
Venera 1964A,False,towards,earth,venus,planet,1964-02-19,1964-02-19,,soviet,Soviet Union
Venera 1964B,False,towards,earth,venus,planet,1964-03-01,1964-03-01,,soviet,Soviet Union
Cosmos 27,False,towards,earth,venus,planet,1964-03-27,1964-03-27,,soviet,Soviet Union
Zond 1,False,towards,earth,venus,planet,1964-04-02,1964-04-02,,soviet,Soviet Union
Venera 2,False,towards,earth,venus,planet,1965-11-12,1966-03-04,,soviet,Soviet Union
Venera 3,False,lander,earth,venus,planet,1965-11-16,1966-03-01,,soviet,Soviet Union
Cosmos 96,False,towards,earth,venus,planet,1965-11-23,1965-12-09,,soviet,Soviet Union
Venera 1965A,False,towards,earth,venus,planet,1965-11-26,1965-11-26,,soviet,Soviet Union
Venera 4,True,lander,earth,venus,planet,1967-06-12,1967-10-18,,soviet,Soviet Union
Mariner 5,True,flyby,earth,venus,planet,1967-06-14,1967-11-01,,nasa,USA
Cosmos 167,False,towards,earth,venus,planet,1967-06-17,1967-06-25,,soviet,Soviet Union
Venera 5,True,lander,earth,venus,planet,1969-01-05,1969-05-16,,soviet,Soviet Union
Venera 6,True,lander,earth,venus,planet,1969-01-10,1969-05-17,,soviet,Soviet Union
Venera 7,True,lander,earth,venus,planet,1970-08-17,,,soviet,Soviet Union
Cosmos 359,False,towards,earth,venus,planet,1970-08-22,1970-08-22,,soviet,Soviet Union
Venera 8,True,lander,earth,venus,planet,1972-03-27,1972-07-22,,soviet,Soviet Union
Cosmos 482,False,towards,earth,venus,planet,1972-03-31,1972-04-03,,soviet,Soviet Union
Mariner 10,True,flyby,earth,venus,planet,1973-11-03,1974-02-05,,nasa,USA
Venera 9,True,orbit,earth,venus,planet,1975-06-08,1975-10-20,,soviet,Soviet Union
Venera 9,True,lander,venus,venus,planet,1975-10-20,1975-10-22,,soviet,Soviet Union
Venera 10,True,orbit,earth,venus,planet,1975-06-14,1975-10-23,,soviet,Soviet Union
Venera 10,True,lander,venus,venus,planet,1975-10-23,1975-10-25,,soviet,Soviet Union
Pioneer Venus Orbiter,True,orbit,earth,venus,planet,1978-05-20,1992-10-08,,nasa,USA
Pioneer Venus Probe Bus,True,lander,earth,venus,planet,1978-08-08,1978-12-09,,nasa,USA
Venera 11,True,lander,earth,venus,planet,1978-09-09,1978-12-25,,soviet,Soviet Union
Venera 12,True,flyby,earth,venus,planet,1978-09-14,1978-12-21,,soviet,Soviet Union
Venera 12,True,lander,venus,venus,planet,1978-12-21,1978-12-21,,soviet,Soviet Union
Venera 13,True,flyby,earth,venus,planet,1981-10-30,1982-03-01,,soviet,Soviet Union
Venera 13,True,lander,venus,venus,planet,1982-03-01,1982-03-01,,soviet,Soviet Union
Venera 14,True,flyby,earth,venus,planet,1981-11-04,1982-03-05,,soviet,Soviet Union
Venera 14,True,lander,venus,venus,planet,1982-03-05,1982-03-05,,soviet,Soviet Union
Venera 15,True,orbit,earth,venus,planet,1983-06-02,1984-07-01,,soviet,Soviet Union
Venera 16,True,orbit,earth,venus,planet,1983-06-07,1984-07-01,,soviet,Soviet Union
Vega 1,True,flyby,earth,venus,planet,1984-12-15,1985-06-11,1984-125A,soviet,Soviet Union
Vega 1,True,lander,venus,venus,planet,1985-06-11,1985-06-11,1984-125A,soviet,Soviet Union
Vega 2,True,flyby,earth,venus,planet,1984-12-21,1985-06-15,,soviet,Soviet Union
Magellan,True,orbit,earth,venus,planet,1989-05-04,1994-10-13,1989-033B,nasa,USA
Galileo,True,flyby,earth,venus,planet,1989-10-18,1990-02-10,1989-084B,nasa,USA
Cassini-Huygens,True,flyby,earth,venus,planet,1997-10-15,1998-04-26,1997-061A,nasa,USA
Cassini-Huygens,True,flyby,venus,venus,planet,1998-04-26,1999-06-24,1997-061A,nasa,USA
MESSENGER,True,flyby,earth,venus,planet,2004-08-03,2006-10-24,,nasa,USA
Venus Express,True,orbit,earth,venus,planet,2005-11-09,2015-01-18,,esa,EU
Akatsuki (Planet-C),False,orbit,earth,venus,planet,2010-05-20,2010-12-06,2010-020D,jaxa,Japan
Akatsuki (Planet-C),True,orbit,venus,venus,planet,2010-12-06,2015-12-07,2010-020D,jaxa,Japan
