to,type,success,success_rate,total
jupiter,flyby,7,1,7
(21) Lutetia,flyby,1,1,1
81P/Wild,flyby,1,1,1
(243) Ida,flyby,1,1,1
26P/Grigg-Skjellerup,flyby,1,1,1
21P/Giacobini-Zinner,flyby,1,0.5,2
1P/Halley,flyby,5,1,5
73P/Schwassmann-Wachmann,flyby,0,0,1
103P/Hartley,flyby,1,1,1
mars,flyby,6,0.5,12
venus,flyby,12,0.571428571,21
(132524) APL,flyby,1,1,1
(9969) Braille,flyby,1,1,1
2P/Encke,flyby,0,0,1
9P/Tempel,flyby,2,1,2
(5535) Annefrank,flyby,1,1,1
earth,flyby,1,1,1
(4179) Toutatis,flyby,1,1,1
saturn,flyby,3,1,3
pluto,flyby,1,1,1
(2867) &#352;teins,flyby,1,1,1
mercury,flyby,3,1,3
uranus,flyby,1,1,1
neptune,flyby,1,1,1
(951) Gaspra,flyby,1,1,1
(25143) Itokawa,lander,0,0,1
earth,lander,2,1,2
venus,lander,13,0.619047619,21
mars,lander,5,0.416666667,12
titan,lander,1,1,1
heliopause3,ongoing,1,1,1
(162173) 1999 JU3,ongoing,1,1,1
mars,ongoing,1,1,1
(101955) Bennu,ongoing,1,1,1
heliopause,ongoing,1,1,1
heliopause2,ongoing,1,1,1
2014 MU69,ongoing,1,1,1
heliopauseb,ongoing,1,1,1
heliopause1,ongoing,1,1,1
67P/Churyumov-Gerasimenko,orbit,1,1,1
jupiter,orbit,2,1,2
19P/Borrelly,orbit,1,1,1
mars,orbit,11,0.523809524,21
venus,orbit,8,0.888888889,9
(433) Eros,orbit,1,1,1
(25143) Itokawa,orbit,1,1,1
saturn,orbit,1,1,1
vesta,orbit,1,1,1
mercury,orbit,1,1,1
ceres,orbit,1,1,1
mars,rover,3,1,3
